0	357.5	2.2 	0.008	0	    0	    0.008
5	359	    2.2 	0.008	0	    0	    0.008
10	1	    2.27 	0.008	200	    0.040 	0.008
15	2.5	    2.2 	0.008	210	    0.040 	0.008
20	4	    2.0 	0.008	220	    0.044 	0.008
25	6	    2.3 	0.008	229	    0.060	0.008
30	7.5	    2.15 	0.008	239	    0.080	0.008
35	9.5	    2.0 	0.008	248	    0.100 	0.008
40	11.5	2.2 	0.008	257.5	0.110	0.008
45	14	    1.8 	0.008	267.5	0.200	0.008
50	16	    1.5 	0.008	277	    0.280 	0.008
55	19	    1.3 	0.008	287	    0.350 	0.008
60	21.5	1.0 	0.008	297	    0.470 	0.008
65	24.9	0.800 	0.008	307	    0.600 	0.008
70	28	    0.600 	0.008	317	    0.760 	0.008
75	31	    0.360 	0.008	327	    1.0 	0.008
80	33.5	0.140 	0.008	337	    1.7 	0.008
85	37.5	0.006 	0.008 	347	    1.6 	0.008
