Tid	Kanal A
(s)	(V)

-0.70010000	2.90600400
-0.70000000	2.90600400
-0.69990000	2.90600400
-0.69980000	2.90600400
-0.69970000	2.90600400
-0.69960000	2.90600400
-0.69950000	2.90600400
-0.69940000	2.90600400
-0.69930000	2.90600400
-0.69920000	2.99981500
-0.69910000	2.90600400
-0.69900000	2.90600400
-0.69890000	2.90600400
-0.69880000	2.90600400
-0.69870000	2.90600400
-0.69860000	2.90600400
-0.69850000	2.90600400
-0.69840000	2.99981500
-0.69830000	2.90600400
-0.69820000	2.90600400
-0.69810000	2.90600400
-0.69800000	2.90600400
-0.69790000	2.90600400
-0.69780000	2.90600400
-0.69770000	2.99981500
-0.69760000	2.90600400
-0.69750000	2.99981500
-0.69740000	2.90600400
-0.69730000	2.90600400
-0.69720000	2.90600400
-0.69710000	2.99981500
-0.69700000	2.90600400
-0.69690000	2.90600400
-0.69680000	2.90600400
-0.69670000	2.90600400
-0.69660000	2.99981500
-0.69650000	2.90600400
-0.69640000	2.90600400
-0.69630000	2.90600400
-0.69620000	2.90600400
-0.69610000	2.90600400
-0.69600000	2.90600400
-0.69590000	2.90600400
-0.69580000	2.90600400
-0.69570000	2.90600400
-0.69560000	2.90600400
-0.69550000	2.90600400
-0.69540000	2.90600400
-0.69530000	2.90600400
-0.69520000	2.90600400
-0.69510000	2.90600400
-0.69500000	2.90600400
-0.69490000	2.90600400
-0.69480000	2.90600400
-0.69470000	2.90600400
-0.69460000	2.90600400
-0.69450000	2.90600400
-0.69440000	2.90600400
-0.69430000	2.90600400
-0.69420000	2.90600400
-0.69410000	2.90600400
-0.69400000	2.90600400
-0.69390000	2.90600400
-0.69380000	2.90600400
-0.69370000	2.90600400
-0.69360000	2.90600400
-0.69350000	2.90600400
-0.69340000	2.90600400
-0.69330000	2.90600400
-0.69320000	2.90600400
-0.69310000	2.90600400
-0.69300000	2.90600400
-0.69290000	2.90600400
-0.69280000	2.90600400
-0.69270000	2.90600400
-0.69260000	2.90600400
-0.69250000	2.90600400
-0.69240000	2.90600400
-0.69230000	2.90600400
-0.69220000	2.90600400
-0.69210000	2.90600400
-0.69200000	2.90600400
-0.69190000	2.90600400
-0.69180000	2.90600400
-0.69170000	2.90600400
-0.69160000	2.90600400
-0.69150000	2.90600400
-0.69140000	2.90600400
-0.69130000	2.90600400
-0.69120000	2.90600400
-0.69110000	2.90600400
-0.69100000	2.90600400
-0.69090000	2.90600400
-0.69080000	2.90600400
-0.69070000	2.90600400
-0.69060000	2.90600400
-0.69050000	2.90600400
-0.69040000	2.90600400
-0.69030000	2.90600400
-0.69020000	2.90600400
-0.69010000	2.90600400
-0.69000000	2.90600400
-0.68990000	2.90600400
-0.68980000	2.90600400
-0.68970000	2.90600400
-0.68960000	2.90600400
-0.68950000	2.90600400
-0.68940000	2.90600400
-0.68930000	2.90600400
-0.68920000	2.90600400
-0.68910000	2.90600400
-0.68900000	2.90600400
-0.68890000	2.90600400
-0.68880000	2.90600400
-0.68870000	2.90600400
-0.68860000	2.90600400
-0.68850000	2.90600400
-0.68840000	2.90600400
-0.68830000	2.90600400
-0.68820000	2.90600400
-0.68810000	2.90600400
-0.68800000	2.90600400
-0.68790000	2.90600400
-0.68780000	2.90600400
-0.68770000	2.90600400
-0.68760000	2.90600400
-0.68750000	2.90600400
-0.68740000	2.90600400
-0.68730000	2.90600400
-0.68720000	2.90600400
-0.68710001	2.90600400
-0.68700001	2.90600400
-0.68690001	2.90600400
-0.68680001	2.90600400
-0.68670001	2.90600400
-0.68660001	2.90600400
-0.68650001	2.90600400
-0.68640001	2.90600400
-0.68630001	2.90600400
-0.68620001	2.90600400
-0.68610001	2.90600400
-0.68600001	2.90600400
-0.68590001	2.90600400
-0.68580001	2.90600400
-0.68570001	2.90600400
-0.68560001	2.90600400
-0.68550001	2.90600400
-0.68540001	2.90600400
-0.68530001	2.90600400
-0.68520001	2.90600400
-0.68510001	2.90600400
-0.68500001	2.90600400
-0.68490001	2.90600400
-0.68480001	2.90600400
-0.68470001	2.90600400
-0.68460001	2.90600400
-0.68450001	2.90600400
-0.68440001	2.90600400
-0.68430001	2.90600400
-0.68420001	2.90600400
-0.68410001	2.90600400
-0.68400001	2.90600400
-0.68390001	2.90600400
