Tid	Kanal A
(s)	(V)

0.00000000	2.81250000
0.00010000	2.71868800
0.00020000	2.71868800
0.00030000	2.62487700
0.00040000	2.62487700
0.00050000	2.62487700
0.00060000	2.62487700
0.00070000	2.62487700
0.00080000	2.53106500
0.00090000	2.53106500
0.00100000	2.62487700
0.00110000	2.62487700
0.00120000	2.62487700
0.00130000	2.62487700
0.00140000	2.62487700
0.00150000	2.71868800
0.00160000	2.71868800
0.00170000	2.71868800
0.00180000	2.71868800
0.00190000	2.81250000
0.00200000	2.81250000
0.00210000	2.81250000
0.00220000	2.81250000
0.00230000	2.81250000
0.00240000	2.90600400
0.00250000	2.81250000
0.00260000	2.81250000
0.00270000	2.81250000
0.00280000	2.81250000
0.00290000	2.71868800
0.00300000	2.71868800
0.00310000	2.62487700
0.00320000	2.62487700
0.00330000	2.53106500
0.00340000	2.53106500
0.00350000	2.43725400
0.00360000	2.34375000
0.00370000	2.34375000
0.00380000	2.24993800
0.00390000	2.24993800
0.00400000	2.15612700
0.00410000	2.15612700
0.00420000	2.15612700
0.00430000	2.15612700
0.00440000	2.06231500
0.00450000	2.06231500
0.00460000	2.15612700
0.00470000	2.15612700
0.00480000	2.15612700
0.00490000	2.15612700
0.00500000	2.15612700
0.00510000	2.24993800
0.00520000	2.34375000
0.00530000	2.34375000
0.00540000	2.43725400
0.00550000	2.43725400
0.00560000	2.53106500
0.00570000	2.62487700
0.00580000	2.71868800
0.00590000	2.71868800
0.00600000	2.81250000
0.00610000	2.81250000
0.00620000	2.90600400
0.00630000	2.90600400
0.00640000	2.90600400
0.00650000	2.90600400
0.00660000	2.90600400
0.00670000	2.90600400
0.00680000	2.90600400
0.00690000	2.81250000
0.00700000	2.81250000
0.00710000	2.71868800
0.00720000	2.71868800
0.00730000	2.71868800
0.00740000	2.62487700
0.00750000	2.53106500
0.00760000	2.53106500
0.00770000	2.43725400
0.00780000	2.43725400
0.00790000	2.34375000
0.00800000	2.34375000
0.00810000	2.24993800
0.00820000	2.15612700
0.00830000	2.15612700
0.00840000	2.15612700
0.00850000	2.15612700
0.00860000	2.15612700
0.00870000	2.15612700
0.00880000	2.06231500
0.00890000	2.15612700
0.00900000	2.15612700
0.00910000	2.24993800
0.00920000	2.24993800
0.00930000	2.34375000
0.00940000	2.34375000
0.00950000	2.43725400
0.00960000	2.43725400
0.00970000	2.53106500
0.00980000	2.62487700
0.00990000	2.62487700
0.01000000	2.71868800
0.01010000	2.71868800
0.01020000	2.71868800
0.01030000	2.81250000
0.01040000	2.81250000
0.01050000	2.81250000
0.01060000	2.90600400
0.01070000	2.81250000
0.01080000	2.81250000
0.01090000	2.90600400
0.01100000	2.81250000
0.01110000	2.81250000
0.01120000	2.71868800
0.01130000	2.71868800
0.01140000	2.62487700
0.01150000	2.62487700
0.01160000	2.53106500
0.01170000	2.43725400
0.01180000	2.43725400
0.01190000	2.34375000
0.01200000	2.24993800
0.01210000	2.15612700
0.01220000	2.06231500
0.01230000	2.06231500
0.01240000	1.96850400
0.01250000	1.96850400
0.01260000	1.87500000
0.01270000	1.78118800
0.01280000	1.78118800
0.01290000	1.68737700
0.01300000	1.68737700
0.01310000	1.68737700
0.01320000	1.59356500
0.01330000	1.59356500
0.01340000	1.59356500
0.01350000	1.59356500
0.01360000	1.68737700
0.01370000	1.68737700
0.01380000	1.78118800
0.01390000	1.87500000
0.01400000	1.87500000
0.01410000	1.87500000
0.01420000	1.96850400
0.01430000	2.06231500
0.01440000	2.06231500
0.01450000	2.15612700
0.01460000	2.24993800
0.01470000	2.24993800
0.01480000	2.34375000
0.01490000	2.34375000
0.01500000	2.43725400
0.01510000	2.43725400
0.01520000	2.53106500
0.01530000	2.53106500
0.01540000	2.53106500
0.01550000	2.53106500
0.01560000	2.53106500
0.01570000	2.53106500
0.01580000	2.53106500
0.01590000	2.43725400
0.01600000	2.34375000
0.01610000	2.34375000
0.01620000	2.24993800
0.01630000	2.24993800
0.01640000	2.15612700
0.01650000	2.06231500
0.01660000	2.06231500
0.01670000	1.96850400
0.01680000	1.96850400
0.01690000	1.87500000
0.01700000	1.87500000
0.01710000	1.78118800
0.01720000	1.78118800
0.01730000	1.78118800
0.01740000	1.78118800
0.01750000	1.78118800
