Tid	Kanal A
(s)	(V)

0.00000000	3.28125000
0.00010000	3.28125000
0.00020000	3.37475400
0.00030000	3.37475400
0.00040000	3.28125000
0.00050000	3.37475400
0.00060000	3.28125000
0.00070000	3.37475400
0.00080000	3.28125000
0.00090000	3.28125000
0.00100000	3.28125000
0.00110000	3.28125000
0.00120000	3.28125000
0.00130000	3.28125000
0.00140000	3.28125000
0.00150000	3.28125000
0.00160000	3.28125000
0.00170000	3.28125000
0.00180000	3.28125000
0.00190000	3.28125000
0.00200000	3.28125000
0.00210000	3.37475400
0.00220000	3.28125000
0.00230000	3.28125000
0.00240000	3.37475400
0.00250000	3.37475400
0.00260000	3.28125000
0.00270000	3.37475400
0.00280000	3.28125000
0.00290000	3.28125000
0.00300000	3.28125000
0.00310000	3.37475400
0.00320000	3.37475400
0.00330000	3.37475400
0.00340000	3.37475400
0.00350000	3.37475400
0.00360000	3.37475400
0.00370000	3.37475400
0.00380000	3.37475400
0.00390000	3.37475400
0.00400000	3.37475400
0.00410000	3.37475400
0.00420000	3.37475400
0.00430000	3.37475400
0.00440000	3.37475400
0.00450000	3.28125000
0.00460000	3.28125000
0.00470000	3.28125000
0.00480000	3.28125000
0.00490000	3.28125000
0.00500000	3.28125000
0.00510000	3.28125000
0.00520000	3.28125000
0.00530000	3.18743800
0.00540000	3.18743800
0.00550000	3.28125000
0.00560000	3.28125000
0.00570000	3.28125000
0.00580000	3.28125000
0.00590000	3.28125000
0.00600000	3.28125000
0.00610000	3.28125000
0.00620000	3.28125000
0.00630000	3.28125000
0.00640000	3.28125000
0.00650000	3.28125000
0.00660000	3.28125000
0.00670000	3.28125000
0.00680000	3.28125000
0.00690000	3.37475400
0.00700000	3.37475400
0.00710000	3.37475400
0.00720000	3.46856500
0.00730000	3.46856500
0.00740000	3.46856500
0.00750000	3.46856500
0.00760000	3.56237700
0.00770000	3.56237700
0.00780000	3.65618800
0.00790000	3.65618800
0.00800000	3.65618800
0.00810000	3.65618800
0.00820000	3.65618800
0.00830000	3.75000000
0.00840000	3.65618800
0.00850000	3.65618800
0.00860000	3.65618800
0.00870000	3.65618800
0.00880000	3.65618800
0.00890000	3.65618800
0.00900000	3.65618800
0.00910000	3.65618800
0.00920000	3.65618800
0.00930000	3.65618800
0.00940000	3.65618800
0.00950000	3.65618800
0.00960000	3.65618800
0.00970000	3.65618800
0.00980000	3.65618800
0.00990000	3.65618800
0.01000000	3.65618800
0.01010000	3.56237700
0.01020000	3.56237700
0.01030000	3.56237700
0.01040000	3.56237700
0.01050000	3.56237700
0.01060000	3.56237700
0.01070000	3.46856500
0.01080000	3.46856500
0.01090000	3.46856500
0.01100000	3.56237700
0.01110000	3.56237700
0.01120000	3.56237700
0.01130000	3.56237700
0.01140000	3.56237700
0.01150000	3.56237700
0.01160000	3.65618800
0.01170000	3.56237700
0.01180000	3.65618800
0.01190000	3.56237700
0.01200000	3.56237700
0.01210000	3.56237700
0.01220000	3.56237700
0.01230000	3.56237700
0.01240000	3.65618800
0.01250000	3.56237700
0.01260000	3.65618800
0.01270000	3.65618800
0.01280000	3.65618800
0.01290000	3.56237700
0.01300000	3.65618800
0.01310000	3.65618800
0.01320000	3.65618800
0.01330000	3.65618800
0.01340000	3.65618800
0.01350000	3.65618800
0.01360000	3.65618800
0.01370000	3.65618800
0.01380000	3.65618800
0.01390000	3.65618800
0.01400000	3.65618800
0.01410000	3.65618800
0.01420000	3.65618800
0.01430000	3.65618800
0.01440000	3.65618800
0.01450000	3.65618800
0.01460000	3.65618800
0.01470000	3.65618800
0.01480000	3.65618800
0.01490000	3.65618800
0.01500000	3.65618800
0.01510000	3.65618800
0.01520000	3.65618800
0.01530000	3.65618800
0.01540000	3.65618800
0.01550000	3.65618800
0.01560000	3.75000000
0.01570000	3.65618800
0.01580000	3.65618800
0.01590000	3.75000000
0.01600000	3.75000000
0.01610000	3.75000000
0.01620000	3.75000000
0.01630000	3.75000000
0.01640000	3.75000000
0.01650000	3.75000000
0.01660000	3.84350400
0.01670000	3.75000000
0.01680000	3.84350400
0.01690000	3.84350400
0.01700000	3.84350400
0.01710000	3.93731500
0.01720000	3.93731500
0.01730000	3.93731500
0.01740000	3.93731500
0.01750000	4.03112700
