Absorbance: 0.21	
187.923	-0	
188.387	-0	
188.851	-0	
189.315	-2.58	
189.779	-1.62	
190.242	-1.6	
190.706	-2.57	
191.17	-0	
191.633	-0	
192.097	-0	
192.56	-1.41	
193.024	-0	
193.487	-0	
193.951	-0	
194.414	-0	
194.877	-1.76	
195.34	-1.83	
195.803	-0	
196.266	-0	
196.73	-1.75	
197.193	-2.32	
197.656	-1.34	
198.118	-0	
198.581	-1.08	
199.044	-0.55	
199.507	-0.53	
199.97	-0.46	
200.432	-0.47	
200.895	-0.53	
201.358	-0.48	
201.82	-0.5	
202.283	-0.49	
202.745	-0.47	
203.207	-0.47	
203.67	-0.5	
204.132	-0.52	
204.594	-0.52	
205.056	-0.46	
205.519	-0.49	
205.981	-0.56	
206.443	-0.52	
206.905	-0.49	
207.367	-0.52	
207.829	-0.45	
208.291	-0.54	
208.752	-0.59	
209.214	-0.49	
209.676	-0.48	
210.138	-0.44	
210.599	-0.44	
211.061	-0.49	
211.522	-0.47	
211.984	-0.5	
212.445	-0.45	
212.907	-0.55	
213.368	-0.48	
213.829	-0.46	
214.291	-0.43	
214.752	-0.45	
215.213	-0.38	
215.674	-0.37	
216.135	-0.33	
216.596	-0.29	
217.057	-0.24	
217.518	-0.25	
217.979	-0.21	
218.44	-0.15	
218.9	-0.07	
219.361	-0.01	
219.822	0.01	
220.282	0.05	
220.743	0.08	
221.204	0.11	
221.664	0.13	
222.125	0.17	
222.585	0.2	
223.045	0.28	
223.506	0.28	
223.966	0.29	
224.426	0.33	
224.886	0.34	
225.346	0.36	
225.806	0.4	
226.266	0.4	
226.726	0.42	
227.186	0.44	
227.646	0.46	
228.106	0.44	
228.566	0.45	
229.025	0.46	
229.485	0.47	
229.945	0.48	
230.404	0.48	
230.864	0.5	
231.323	0.49	
231.783	0.49	
232.242	0.5	
232.702	0.49	
233.161	0.52	
233.62	0.52	
234.079	0.53	
234.538	0.53	
234.998	0.54	
235.457	0.51	
235.916	0.55	
236.375	0.55	
236.834	0.54	
237.292	0.56	
237.751	0.59	
238.21	0.59	
238.669	0.57	
239.127	0.57	
239.586	0.58	
240.045	0.6	
240.503	0.61	
240.962	0.59	
241.42	0.61	
241.878	0.59	
242.337	0.61	
242.795	0.61	
243.253	0.62	
243.712	0.61	
244.17	0.64	
244.628	0.63	
245.086	0.63	
245.544	0.62	
246.002	0.63	
246.46	0.64	
246.918	0.65	
247.375	0.66	
247.833	0.69	
248.291	0.67	
248.749	0.68	
249.206	0.68	
249.664	0.67	
250.121	0.68	
250.579	0.68	
251.036	0.7	
251.494	0.7	
251.951	0.72	
252.408	0.74	
252.866	0.74	
253.323	0.76	
253.78	0.76	
254.237	0.75	
254.694	0.78	
255.151	0.77	
255.608	0.76	
256.065	0.78	
256.522	0.75	
256.979	0.76	
257.435	0.81	
257.892	0.77	
258.349	0.79	
258.805	0.79	
259.262	0.79	
259.718	0.78	
260.175	0.81	
260.631	0.8	
261.088	0.8	
261.544	0.8	
262	0.8	
262.457	0.81	
262.913	0.82	
263.369	0.82	
263.825	0.82	
264.281	0.85	
264.737	0.83	
265.193	0.87	
265.649	0.81	
266.105	0.84	
266.561	0.82	
267.016	0.83	
267.472	0.83	
267.928	0.82	
268.383	0.82	
268.839	0.8	
269.294	0.81	
269.75	0.84	
270.205	0.83	
270.661	0.82	
271.116	0.84	
271.571	0.85	
272.026	0.84	
272.482	0.84	
272.937	0.83	
273.392	0.83	
273.847	0.85	
274.302	0.81	
274.757	0.81	
275.212	0.81	
275.666	0.81	
276.121	0.82	
276.576	0.85	
277.031	0.83	
277.485	0.85	
277.94	0.83	
278.395	0.81	
278.849	0.85	
279.303	0.84	
279.758	0.84	
280.212	0.84	
280.667	0.85	
281.121	0.86	
281.575	0.85	
282.029	0.85	
282.483	0.84	
282.937	0.83	
283.391	0.84	
283.845	0.85	
284.299	0.81	
284.753	0.82	
285.207	0.85	
285.661	0.83	
286.115	0.82	
286.568	0.83	
287.022	0.82	
287.475	0.83	
287.929	0.84	
288.383	0.83	
288.836	0.82	
289.289	0.84	
289.743	0.85	
290.196	0.81	
290.649	0.83	
291.102	0.8	
291.556	0.77	
292.009	0.78	
292.462	0.78	
292.915	0.81	
293.368	0.78	
293.821	0.75	
294.274	0.73	
294.726	0.75	
295.179	0.74	
295.632	0.71	
296.084	0.69	
296.537	0.67	
296.99	0.66	
297.442	0.65	
297.895	0.64	
298.347	0.62	
298.8	0.59	
299.252	0.59	
299.704	0.57	
300.156	0.55	
300.609	0.54	
301.061	0.51	
301.513	0.49	
301.965	0.47	
302.417	0.46	
302.869	0.44	
303.321	0.42	
303.773	0.41	
304.224	0.39	
304.676	0.36	
305.128	0.36	
305.579	0.33	
306.031	0.31	
306.483	0.32	
306.934	0.29	
307.386	0.29	
307.837	0.25	
308.288	0.25	
308.74	0.25	
309.191	0.23	
309.642	0.21	
310.093	0.19	
310.544	0.2	
310.996	0.19	
311.447	0.17	
311.898	0.16	
312.348	0.15	
312.799	0.14	
313.25	0.12	
313.701	0.12	
314.152	0.11	
314.602	0.1	
315.053	0.09	
315.504	0.09	
315.954	0.09	
316.405	0.08	
316.855	0.07	
317.305	0.06	
317.756	0.07	
318.206	0.06	
318.656	0.05	
319.107	0.05	
319.557	0.04	
320.007	0.03	
320.457	0.03	
320.907	0.03	
321.357	0.02	
321.807	0.02	
322.257	0	
322.706	0	
323.156	0.01	
323.606	-0	
324.056	-0.01	
324.505	-0.01	
324.955	-0	
325.404	-0.02	
325.854	-0.01	
326.303	-0.03	
326.753	-0.02	
327.202	-0.03	
327.651	-0.03	
328.1	-0.03	
328.55	-0.03	
328.999	-0.04	
329.448	-0.03	
329.897	-0.03	
330.346	-0.05	
330.795	-0.03	
331.244	-0.03	
331.693	-0.04	
332.141	-0.03	
332.59	-0.04	
333.039	-0.04	
333.487	-0.06	
333.936	-0.06	
334.385	-0.05	
334.833	-0.05	
335.282	-0.05	
335.73	-0.05	
336.178	-0.06	
336.627	-0.04	
337.075	-0.06	
337.523	-0.06	
337.971	-0.06	
338.419	-0.05	
338.867	-0.06	
339.315	-0.06	
339.763	-0.06	
340.211	-0.06	
340.659	-0.07	
341.107	-0.07	
341.555	-0.06	
342.002	-0.06	
342.45	-0.06	
342.898	-0.06	
343.345	-0.06	
343.793	-0.07	
344.24	-0.07	
344.688	-0.07	
345.135	-0.07	
345.582	-0.08	
346.03	-0.07	
346.477	-0.06	
346.924	-0.07	
347.371	-0.08	
347.818	-0.07	
348.265	-0.07	
348.712	-0.07	
349.159	-0.06	
349.606	-0.08	
350.053	-0.07	
350.5	-0.07	
350.947	-0.07	
351.393	-0.08	
351.84	-0.06	
352.287	-0.08	
352.733	-0.08	
353.18	-0.08	
353.626	-0.08	
354.072	-0.07	
354.519	-0.07	
354.965	-0.08	
355.411	-0.07	
355.858	-0.08	
356.304	-0.07	
356.75	-0.07	
357.196	-0.08	
357.642	-0.08	
358.088	-0.09	
358.534	-0.07	
358.98	-0.08	
359.425	-0.08	
359.871	-0.08	
360.317	-0.08	
360.763	-0.08	
361.208	-0.08	
361.654	-0.07	
362.099	-0.07	
362.545	-0.08	
362.99	-0.08	
363.436	-0.09	
363.881	-0.08	
364.326	-0.07	
364.771	-0.08	
365.217	-0.07	
365.662	-0.07	
366.107	-0.08	
366.552	-0.08	
366.997	-0.07	
367.442	-0.06	
367.887	-0.08	
368.332	-0.08	
368.776	-0.08	
369.221	-0.09	
369.666	-0.08	
370.11	-0.08	
370.555	-0.09	
371	-0.07	
371.444	-0.09	
371.888	-0.09	
372.333	-0.08	
372.777	-0.08	
373.221	-0.07	
373.666	-0.08	
374.11	-0.08	
374.554	-0.07	
374.998	-0.08	
375.442	-0.08	
375.886	-0.07	
376.33	-0.07	
376.774	-0.07	
377.218	-0.07	
377.662	-0.07	
378.106	-0.08	
378.549	-0.07	
378.993	-0.07	
379.436	-0.06	
379.88	-0.08	
380.324	-0.07	
380.767	-0.07	
381.21	-0.08	
381.654	-0.08	
382.097	-0.08	
382.54	-0.07	
382.984	-0.07	
383.427	-0.07	
383.87	-0.07	
384.313	-0.08	
384.756	-0.08	
385.199	-0.07	
385.642	-0.07	
386.085	-0.08	
386.528	-0.08	
386.97	-0.08	
387.413	-0.07	
387.856	-0.07	
388.298	-0.08	
388.741	-0.08	
389.183	-0.07	
389.626	-0.07	
390.068	-0.07	
