Absorbance: 0.24	
187.923	-0	
188.387	-0	
188.851	-0	
189.315	-2.6	
189.779	-1.6	
190.242	-1.59	
190.706	-2.58	
191.17	-0	
191.633	-0	
192.097	-0	
192.56	-1.42	
193.024	-0	
193.487	-0	
193.951	-0	
194.414	-0	
194.877	-1.76	
195.34	-1.84	
195.803	-0	
196.266	-0	
196.73	-1.75	
197.193	-2.32	
197.656	-1.36	
198.118	-0	
198.581	-1.07	
199.044	-0.6	
199.507	-0.57	
199.97	-0.5	
200.432	-0.51	
200.895	-0.57	
201.358	-0.51	
201.82	-0.56	
202.283	-0.52	
202.745	-0.53	
203.207	-0.53	
203.67	-0.54	
204.132	-0.57	
204.594	-0.57	
205.056	-0.5	
205.519	-0.53	
205.981	-0.59	
206.443	-0.57	
206.905	-0.54	
207.367	-0.55	
207.829	-0.5	
208.291	-0.58	
208.752	-0.63	
209.214	-0.54	
209.676	-0.53	
210.138	-0.49	
210.599	-0.51	
211.061	-0.54	
211.522	-0.51	
211.984	-0.52	
212.445	-0.51	
212.907	-0.58	
213.368	-0.52	
213.829	-0.51	
214.291	-0.48	
214.752	-0.51	
215.213	-0.44	
215.674	-0.42	
216.135	-0.38	
216.596	-0.35	
217.057	-0.3	
217.518	-0.3	
217.979	-0.27	
218.44	-0.21	
218.9	-0.15	
219.361	-0.13	
219.822	-0.1	
220.282	-0.08	
220.743	-0.07	
221.204	-0.04	
221.664	-0.03	
222.125	-0	
222.585	0.01	
223.045	0.07	
223.506	0.06	
223.966	0.05	
224.426	0.08	
224.886	0.08	
225.346	0.08	
225.806	0.12	
226.266	0.1	
226.726	0.11	
227.186	0.1	
227.646	0.13	
228.106	0.11	
228.566	0.11	
229.025	0.12	
229.485	0.12	
229.945	0.12	
230.404	0.11	
230.864	0.12	
231.323	0.11	
231.783	0.12	
232.242	0.11	
232.702	0.12	
233.161	0.13	
233.62	0.12	
234.079	0.11	
234.538	0.1	
234.998	0.11	
235.457	0.1	
235.916	0.12	
236.375	0.12	
236.834	0.11	
237.292	0.12	
237.751	0.12	
238.21	0.11	
238.669	0.12	
239.127	0.12	
239.586	0.12	
240.045	0.12	
240.503	0.12	
240.962	0.12	
241.42	0.11	
241.878	0.12	
242.337	0.12	
242.795	0.12	
243.253	0.12	
243.712	0.12	
244.17	0.12	
244.628	0.12	
245.086	0.12	
245.544	0.11	
246.002	0.11	
246.46	0.12	
246.918	0.12	
247.375	0.12	
247.833	0.13	
248.291	0.12	
248.749	0.12	
249.206	0.12	
249.664	0.11	
250.121	0.11	
250.579	0.14	
251.036	0.12	
251.494	0.11	
251.951	0.13	
252.408	0.13	
252.866	0.13	
253.323	0.14	
253.78	0.13	
254.237	0.13	
254.694	0.15	
255.151	0.13	
255.608	0.13	
256.065	0.13	
256.522	0.12	
256.979	0.12	
257.435	0.13	
257.892	0.12	
258.349	0.12	
258.805	0.13	
259.262	0.12	
259.718	0.13	
260.175	0.14	
260.631	0.14	
261.088	0.13	
261.544	0.14	
262	0.14	
262.457	0.14	
262.913	0.14	
263.369	0.14	
263.825	0.12	
264.281	0.15	
264.737	0.13	
265.193	0.14	
265.649	0.14	
266.105	0.13	
266.561	0.13	
267.016	0.14	
267.472	0.14	
267.928	0.13	
268.383	0.13	
268.839	0.14	
269.294	0.13	
269.75	0.14	
270.205	0.14	
270.661	0.13	
271.116	0.14	
271.571	0.14	
272.026	0.14	
272.482	0.14	
272.937	0.13	
273.392	0.12	
273.847	0.14	
274.302	0.14	
274.757	0.13	
275.212	0.12	
275.666	0.13	
276.121	0.12	
276.576	0.15	
277.031	0.12	
277.485	0.13	
277.94	0.13	
278.395	0.12	
278.849	0.14	
279.303	0.13	
279.758	0.13	
280.212	0.12	
280.667	0.13	
281.121	0.14	
281.575	0.13	
282.029	0.14	
282.483	0.14	
282.937	0.13	
283.391	0.13	
283.845	0.14	
284.299	0.11	
284.753	0.12	
285.207	0.13	
285.661	0.12	
286.115	0.13	
286.568	0.12	
287.022	0.13	
287.475	0.12	
287.929	0.12	
288.383	0.12	
288.836	0.12	
289.289	0.12	
289.743	0.14	
290.196	0.12	
290.649	0.12	
291.102	0.12	
291.556	0.12	
292.009	0.11	
292.462	0.13	
292.915	0.13	
293.368	0.12	
293.821	0.11	
294.274	0.11	
294.726	0.11	
295.179	0.11	
295.632	0.12	
296.084	0.11	
296.537	0.1	
296.99	0.1	
297.442	0.11	
297.895	0.12	
298.347	0.11	
298.8	0.09	
299.252	0.1	
299.704	0.1	
300.156	0.1	
300.609	0.11	
301.061	0.11	
301.513	0.1	
301.965	0.1	
302.417	0.09	
302.869	0.09	
303.321	0.1	
303.773	0.09	
304.224	0.09	
304.676	0.09	
305.128	0.1	
305.579	0.09	
306.031	0.08	
306.483	0.09	
306.934	0.08	
307.386	0.09	
307.837	0.08	
308.288	0.08	
308.74	0.09	
309.191	0.09	
309.642	0.08	
310.093	0.08	
310.544	0.08	
310.996	0.09	
311.447	0.08	
311.898	0.07	
312.348	0.08	
312.799	0.08	
313.25	0.07	
313.701	0.07	
314.152	0.07	
314.602	0.08	
315.053	0.06	
315.504	0.07	
315.954	0.07	
316.405	0.07	
316.855	0.06	
317.305	0.06	
317.756	0.08	
318.206	0.08	
318.656	0.07	
319.107	0.07	
319.557	0.07	
320.007	0.05	
320.457	0.06	
320.907	0.06	
321.357	0.07	
321.807	0.06	
322.257	0.05	
322.706	0.06	
323.156	0.05	
323.606	0.06	
324.056	0.05	
324.505	0.06	
324.955	0.06	
325.404	0.06	
325.854	0.06	
326.303	0.05	
326.753	0.06	
327.202	0.04	
327.651	0.04	
328.1	0.05	
328.55	0.05	
328.999	0.06	
329.448	0.06	
329.897	0.06	
330.346	0.06	
330.795	0.07	
331.244	0.08	
331.693	0.07	
332.141	0.07	
332.59	0.06	
333.039	0.07	
333.487	0.06	
333.936	0.06	
334.385	0.07	
334.833	0.06	
335.282	0.07	
335.73	0.07	
336.178	0.07	
336.627	0.08	
337.075	0.08	
337.523	0.07	
337.971	0.07	
338.419	0.09	
338.867	0.07	
339.315	0.07	
339.763	0.08	
340.211	0.09	
340.659	0.08	
341.107	0.08	
341.555	0.08	
342.002	0.09	
342.45	0.08	
342.898	0.1	
343.345	0.1	
343.793	0.09	
344.24	0.1	
344.688	0.1	
345.135	0.09	
345.582	0.1	
346.03	0.1	
346.477	0.11	
346.924	0.1	
347.371	0.1	
347.818	0.12	
348.265	0.11	
348.712	0.1	
349.159	0.12	
349.606	0.12	
350.053	0.13	
350.5	0.12	
350.947	0.12	
351.393	0.12	
351.84	0.13	
352.287	0.14	
352.733	0.13	
353.18	0.13	
353.626	0.13	
354.072	0.15	
354.519	0.15	
354.965	0.16	
355.411	0.14	
355.858	0.16	
356.304	0.17	
356.75	0.18	
357.196	0.17	
357.642	0.18	
358.088	0.18	
358.534	0.2	
358.98	0.19	
359.425	0.21	
359.871	0.2	
360.317	0.22	
360.763	0.22	
361.208	0.22	
361.654	0.24	
362.099	0.24	
362.545	0.25	
362.99	0.26	
363.436	0.26	
363.881	0.28	
364.326	0.29	
364.771	0.29	
365.217	0.29	
365.662	0.32	
366.107	0.31	
366.552	0.32	
366.997	0.33	
367.442	0.34	
367.887	0.35	
368.332	0.35	
368.776	0.36	
369.221	0.36	
369.666	0.38	
370.11	0.39	
370.555	0.4	
371	0.4	
371.444	0.41	
371.888	0.41	
372.333	0.43	
372.777	0.44	
373.221	0.46	
373.666	0.44	
374.11	0.48	
374.554	0.48	
374.998	0.49	
375.442	0.5	
375.886	0.52	
376.33	0.53	
376.774	0.53	
377.218	0.53	
377.662	0.55	
378.106	0.54	
378.549	0.55	
378.993	0.58	
379.436	0.58	
379.88	0.57	
380.324	0.59	
380.767	0.58	
381.21	0.57	
381.654	0.58	
382.097	0.59	
382.54	0.6	
382.984	0.58	
383.427	0.61	
383.87	0.6	
384.313	0.6	
384.756	0.6	
385.199	0.59	
385.642	0.62	
386.085	0.59	
386.528	0.62	
386.97	0.61	
387.413	0.63	
387.856	0.65	
388.298	0.63	
388.741	0.63	
389.183	0.65	
389.626	0.64	
390.068	0.65	
390.511	0.64	
390.953	0.65	
391.395	0.62	
391.838	0.66	
392.28	0.65	
392.722	0.66	
393.164	0.67	
393.606	0.67	
394.048	0.67	
394.49	0.64	
394.932	0.66	
395.374	0.64	
395.815	0.64	
396.257	0.63	
396.699	0.65	
