Absorbance: 0.03	
187.923	-0	
188.387	-0	
188.851	-0	
189.315	-2.58	
189.779	-1.61	
190.242	-1.6	
190.706	-2.57	
191.17	-0	
191.633	-0	
192.097	-0	
192.56	-1.43	
193.024	-0	
193.487	-0	
193.951	-0	
194.414	-0	
194.877	-1.76	
195.34	-1.84	
195.803	-0	
196.266	-0	
196.73	-1.76	
197.193	-2.32	
197.656	-1.34	
198.118	-0	
198.581	-1.1	
199.044	-0.66	
199.507	-0.63	
199.97	-0.56	
200.432	-0.57	
200.895	-0.63	
201.358	-0.57	
201.82	-0.61	
202.283	-0.59	
202.745	-0.58	
203.207	-0.59	
203.67	-0.59	
204.132	-0.64	
204.594	-0.61	
205.056	-0.57	
205.519	-0.59	
205.981	-0.64	
206.443	-0.62	
206.905	-0.59	
207.367	-0.6	
207.829	-0.56	
208.291	-0.63	
208.752	-0.68	
209.214	-0.59	
209.676	-0.57	
210.138	-0.55	
210.599	-0.55	
211.061	-0.59	
211.522	-0.56	
211.984	-0.59	
212.445	-0.55	
212.907	-0.65	
213.368	-0.56	
213.829	-0.57	
214.291	-0.55	
214.752	-0.56	
215.213	-0.49	
215.674	-0.48	
216.135	-0.45	
216.596	-0.42	
217.057	-0.39	
217.518	-0.39	
217.979	-0.37	
218.44	-0.31	
218.9	-0.26	
219.361	-0.25	
219.822	-0.24	
220.282	-0.22	
220.743	-0.21	
221.204	-0.2	
221.664	-0.18	
222.125	-0.18	
222.585	-0.19	
223.045	-0.13	
223.506	-0.15	
223.966	-0.17	
224.426	-0.14	
224.886	-0.14	
225.346	-0.13	
225.806	-0.13	
226.266	-0.14	
226.726	-0.14	
227.186	-0.13	
227.646	-0.12	
228.106	-0.13	
228.566	-0.12	
229.025	-0.13	
229.485	-0.13	
229.945	-0.12	
230.404	-0.12	
230.864	-0.13	
231.323	-0.13	
231.783	-0.12	
232.242	-0.13	
232.702	-0.12	
233.161	-0.12	
233.62	-0.12	
234.079	-0.12	
234.538	-0.12	
234.998	-0.12	
235.457	-0.13	
235.916	-0.12	
236.375	-0.11	
236.834	-0.11	
237.292	-0.12	
237.751	-0.1	
238.21	-0.11	
238.669	-0.1	
239.127	-0.11	
239.586	-0.11	
240.045	-0.1	
240.503	-0.1	
240.962	-0.1	
241.42	-0.11	
241.878	-0.1	
242.337	-0.1	
242.795	-0.09	
243.253	-0.1	
243.712	-0.1	
244.17	-0.1	
244.628	-0.09	
245.086	-0.1	
245.544	-0.11	
246.002	-0.1	
246.46	-0.09	
246.918	-0.09	
247.375	-0.09	
247.833	-0.08	
248.291	-0.08	
248.749	-0.09	
249.206	-0.08	
249.664	-0.09	
250.121	-0.08	
250.579	-0.08	
251.036	-0.08	
251.494	-0.09	
251.951	-0.08	
252.408	-0.08	
252.866	-0.07	
253.323	-0.07	
253.78	-0.07	
254.237	-0.07	
254.694	-0.07	
255.151	-0.07	
255.608	-0.07	
256.065	-0.07	
256.522	-0.07	
256.979	-0.08	
257.435	-0.07	
257.892	-0.07	
258.349	-0.07	
258.805	-0.07	
259.262	-0.08	
259.718	-0.07	
260.175	-0.07	
260.631	-0.07	
261.088	-0.07	
261.544	-0.07	
262	-0.07	
262.457	-0.07	
262.913	-0.06	
263.369	-0.07	
263.825	-0.07	
264.281	-0.06	
264.737	-0.08	
265.193	-0.06	
265.649	-0.07	
266.105	-0.06	
266.561	-0.06	
267.016	-0.07	
267.472	-0.07	
267.928	-0.07	
268.383	-0.08	
268.839	-0.07	
269.294	-0.07	
269.75	-0.07	
270.205	-0.07	
270.661	-0.07	
271.116	-0.06	
271.571	-0.07	
272.026	-0.07	
272.482	-0.06	
272.937	-0.07	
273.392	-0.08	
273.847	-0.06	
274.302	-0.07	
274.757	-0.08	
275.212	-0.08	
275.666	-0.07	
276.121	-0.07	
276.576	-0.06	
277.031	-0.08	
277.485	-0.07	
277.94	-0.07	
278.395	-0.08	
278.849	-0.07	
279.303	-0.07	
279.758	-0.07	
280.212	-0.08	
280.667	-0.07	
281.121	-0.06	
281.575	-0.07	
282.029	-0.06	
282.483	-0.07	
282.937	-0.07	
283.391	-0.07	
283.845	-0.07	
284.299	-0.07	
284.753	-0.08	
285.207	-0.07	
285.661	-0.08	
286.115	-0.07	
286.568	-0.07	
287.022	-0.07	
287.475	-0.07	
287.929	-0.07	
288.383	-0.07	
288.836	-0.06	
289.289	-0.07	
289.743	-0.06	
290.196	-0.08	
290.649	-0.07	
291.102	-0.07	
291.556	-0.08	
292.009	-0.07	
292.462	-0.06	
292.915	-0.07	
293.368	-0.07	
293.821	-0.07	
294.274	-0.06	
294.726	-0.07	
295.179	-0.06	
295.632	-0.06	
296.084	-0.07	
296.537	-0.07	
296.99	-0.07	
297.442	-0.07	
297.895	-0.07	
298.347	-0.07	
298.8	-0.08	
299.252	-0.06	
299.704	-0.07	
300.156	-0.07	
300.609	-0.06	
301.061	-0.07	
301.513	-0.06	
301.965	-0.07	
302.417	-0.07	
302.869	-0.07	
303.321	-0.07	
303.773	-0.07	
304.224	-0.07	
304.676	-0.07	
305.128	-0.06	
305.579	-0.07	
306.031	-0.07	
306.483	-0.05	
306.934	-0.07	
307.386	-0.05	
307.837	-0.07	
308.288	-0.06	
308.74	-0.07	
309.191	-0.06	
309.642	-0.07	
310.093	-0.07	
310.544	-0.07	
310.996	-0.06	
311.447	-0.06	
311.898	-0.07	
312.348	-0.06	
312.799	-0.07	
313.25	-0.07	
313.701	-0.07	
314.152	-0.06	
314.602	-0.07	
315.053	-0.07	
315.504	-0.06	
315.954	-0.06	
316.405	-0.07	
316.855	-0.07	
317.305	-0.07	
317.756	-0.06	
318.206	-0.05	
318.656	-0.07	
319.107	-0.06	
319.557	-0.07	
320.007	-0.07	
320.457	-0.07	
320.907	-0.06	
321.357	-0.06	
321.807	-0.06	
322.257	-0.08	
322.706	-0.07	
323.156	-0.06	
323.606	-0.08	
324.056	-0.08	
324.505	-0.07	
324.955	-0.06	
325.404	-0.08	
325.854	-0.07	
326.303	-0.07	
326.753	-0.07	
327.202	-0.07	
327.651	-0.08	
328.1	-0.08	
328.55	-0.09	
328.999	-0.1	
329.448	-0.09	
329.897	-0.1	
330.346	-0.09	
330.795	-0.08	
331.244	-0.07	
331.693	-0.07	
332.141	-0.08	
332.59	-0.08	
333.039	-0.07	
333.487	-0.09	
333.936	-0.08	
334.385	-0.08	
334.833	-0.07	
335.282	-0.07	
335.73	-0.07	
336.178	-0.08	
336.627	-0.07	
337.075	-0.08	
337.523	-0.08	
337.971	-0.08	
338.419	-0.07	
338.867	-0.08	
339.315	-0.09	
339.763	-0.08	
340.211	-0.08	
340.659	-0.07	
341.107	-0.07	
341.555	-0.07	
342.002	-0.08	
342.45	-0.08	
342.898	-0.07	
343.345	-0.08	
343.793	-0.09	
344.24	-0.08	
344.688	-0.08	
345.135	-0.08	
345.582	-0.08	
346.03	-0.08	
346.477	-0.07	
346.924	-0.09	
347.371	-0.09	
347.818	-0.07	
348.265	-0.07	
348.712	-0.08	
349.159	-0.07	
349.606	-0.08	
350.053	-0.08	
350.5	-0.08	
350.947	-0.07	
351.393	-0.09	
351.84	-0.09	
352.287	-0.09	
352.733	-0.09	
353.18	-0.09	
353.626	-0.09	
354.072	-0.08	
354.519	-0.07	
354.965	-0.08	
355.411	-0.09	
355.858	-0.09	
356.304	-0.09	
356.75	-0.08	
357.196	-0.09	
357.642	-0.08	
358.088	-0.1	
358.534	-0.07	
358.98	-0.09	
359.425	-0.09	
359.871	-0.09	
360.317	-0.08	
360.763	-0.09	
361.208	-0.08	
361.654	-0.08	
362.099	-0.08	
362.545	-0.08	
362.99	-0.08	
363.436	-0.09	
363.881	-0.09	
364.326	-0.07	
364.771	-0.08	
365.217	-0.08	
365.662	-0.07	
366.107	-0.09	
366.552	-0.07	
366.997	-0.07	
367.442	-0.07	
367.887	-0.07	
368.332	-0.08	
368.776	-0.07	
369.221	-0.09	
369.666	-0.07	
370.11	-0.07	
370.555	-0.07	
371	-0.07	
371.444	-0.08	
371.888	-0.08	
372.333	-0.07	
372.777	-0.08	
373.221	-0.07	
373.666	-0.07	
374.11	-0.07	
374.554	-0.06	
374.998	-0.06	
375.442	-0.07	
375.886	-0.06	
376.33	-0.06	
376.774	-0.06	
377.218	-0.06	
377.662	-0.05	
378.106	-0.07	
378.549	-0.06	
378.993	-0.06	
379.436	-0.05	
